namen,gerundet,cat_f,cat_d
Häutligen,12268,Economie de,Gewinn von
Vugelles-La Mothe,-238,Perte de,Verlust von
Bussy-Chardonney,NA,NA,NA
Pura,918,Economie de,Gewinn von
Villars-sous-Yens,349,Economie de,Gewinn von
Dizy,383,Economie de,Gewinn von
Agno,164,Economie de,Gewinn von
Henggart,NA,NA,NA
Kleinbösingen,-4659,Perte de,Verlust von
Rüdtligen-Alchenflüh,-548,Perte de,Verlust von
Birrhard,-388,Perte de,Verlust von
Oberhofen am Thunersee,NA,NA,NA
Salmsach,-3855,Perte de,Verlust von
Dachsen,NA,NA,NA
Bottmingen,5347,Economie de,Gewinn von
Kallern,-2885,Perte de,Verlust von
Puplinge,477,Economie de,Gewinn von
Wauwil,129,Economie de,Gewinn von
Witterswil,3884,Economie de,Gewinn von
Luins,188,Economie de,Gewinn von
Belmont-sur-Lausanne,NA,NA,NA
Chavannes-le-Veyron,171,Economie de,Gewinn von
Freimettigen,1245,Economie de,Gewinn von
Renens (VD),2791,Economie de,Gewinn von
Soral,3829,Economie de,Gewinn von
Rümikon,NA,NA,NA
Rüschlikon,NA,NA,NA
Aire-la-Ville,379,Economie de,Gewinn von
Matran,-3627,Perte de,Verlust von
Wangenried,1465,Economie de,Gewinn von
Perroy,4,Economie de,Gewinn von
Coinsins,1345,Economie de,Gewinn von
Cugy (VD),684,Economie de,Gewinn von
Bremblens,245,Economie de,Gewinn von
Rickenbach (BL),-94,Perte de,Verlust von
Erlenbach (ZH),NA,NA,NA
Dättlikon,NA,NA,NA
Romanel-sur-Lausanne,523,Economie de,Gewinn von
Comunanza Cadenazzo/Monteceneri,NA,NA,NA
Unterentfelden,-2882,Perte de,Verlust von
Valeyres-sous-Ursins,88,Economie de,Gewinn von
Bretigny-sur-Morrens,423,Economie de,Gewinn von
Dänikon,NA,NA,NA
Diemerswil,11762,Economie de,Gewinn von
Busswil bei Melchnau,1347,Economie de,Gewinn von
Holziken,-4242,Perte de,Verlust von
Chavannes-de-Bogis,129,Economie de,Gewinn von
Ulmiz,-4739,Perte de,Verlust von
Stein (AG),-2339,Perte de,Verlust von
Mex (VD),1943,Economie de,Gewinn von
Lichtensteig,-1974,Perte de,Verlust von
Baldingen,NA,NA,NA
Büttikon,NA,NA,NA
Onex,3826,Economie de,Gewinn von
Hilterfingen,12569,Economie de,Gewinn von
Niederönz,198,Economie de,Gewinn von
Oberrieden,NA,NA,NA
Boniswil,-2883,Perte de,Verlust von
Dierikon,11169,Economie de,Gewinn von
Grens,182,Economie de,Gewinn von
Confignon,3851,Economie de,Gewinn von
Schwaderloch,NA,NA,NA
Berg (SG),-261,Perte de,Verlust von
Oetwil an der Limmat,NA,NA,NA
Rolle,257,Economie de,Gewinn von
Herbligen,12342,Economie de,Gewinn von
Boningen,NA,NA,NA
Rickenbach (SO),5525,Economie de,Gewinn von
Worben,1635,Economie de,Gewinn von
Jaberg,1258,Economie de,Gewinn von
Bäriswil,-5358,Perte de,Verlust von
Mellikon,NA,NA,NA
Féchy,2896,Economie de,Gewinn von
Carouge (GE),417,Economie de,Gewinn von
Horriwil,NA,NA,NA
Höchstetten,1642,Economie de,Gewinn von
Perly-Certoux,397,Economie de,Gewinn von
Schwerzenbach,NA,NA,NA
Widen,NA,NA,NA
Henniez,342,Economie de,Gewinn von
Allaman,391,Economie de,Gewinn von
Böbikon,NA,NA,NA
Aranno,2,Economie de,Gewinn von
